,filepath,qpm,time_sign_num,time_sign_den,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset,onset_seconds
0,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,1,0,major,0,rest,,,,,,,,0.25,0.0,0.0
1,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,1,0,major,0,rest,,,,,,,,0.25,0.0,0.0
2,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,1,0,major,0,note,C#2,C#,C,1.0,2,37.0,1.0,0.25,0.25,0.625
3,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,1,0,major,0,note,C#3,C#,C,1.0,3,49.0,1.0,0.25,0.25,0.625
4,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,1,0,major,0,note,B1,B,B,0.0,1,35.0,11.0,0.25,0.5,1.25
5,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,1,0,major,0,note,B2,B,B,0.0,2,47.0,11.0,0.25,0.5,1.25
6,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,1,0,major,0,note,Bb1,Bb,B,-1.0,1,34.0,10.0,0.25,0.75,1.875
7,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,1,0,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.25,0.75,1.875
8,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,2,0,major,0,rest,,,,,,,,0.25,1.0,2.5
9,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,2,0,major,0,note,A1,A,A,0.0,1,33.0,9.0,0.25,1.0,2.5
10,data/Trauervorspiel_und_Trauermarsch_S._206.mxl,96.0,4,4,2,0,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.25,1.0,2.5
