,filepath,qpm,time_sign_num,time_sign_den,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset,onset_seconds
0,data/rosamunde.musicxml,120,3,4,1,-3,major,0,note,C4,C,C,0,4,60,0,0.75,0.0,0.0
1,data/rosamunde.musicxml,120,3,4,2,-3,major,0,note,Eb4,Eb,E,-1,4,63,3,0.75,1.0,1.5
2,data/rosamunde.musicxml,120,3,4,3,-3,major,0,note,Ab3,Ab,A,-1,3,56,8,0.75,2.0,3.0
3,data/rosamunde.musicxml,120,3,4,3,-3,major,0,note,C4,C,C,0,4,60,0,0.75,2.0,3.0
4,data/rosamunde.musicxml,120,3,4,3,-3,major,0,note,Eb4,Eb,E,-1,4,63,3,0.75,2.0,3.0
5,data/rosamunde.musicxml,120,3,4,3,-3,major,0,note,Gb4,Gb,G,-1,4,66,6,0.75,2.0,3.0
6,data/rosamunde.musicxml,120,3,4,4,-3,major,0,note,Db4,Db,D,-1,4,61,1,0.75,3.0,4.5
7,data/rosamunde.musicxml,120,3,4,5,-3,major,0,note,F4,F,F,0,4,65,5,0.75,4.0,6.0
8,data/rosamunde.musicxml,120,3,4,6,-3,major,0,note,G4,G,G,0,4,67,7,0.75,5.0,7.5
9,data/rosamunde.musicxml,120,3,4,6,-3,major,0,note,C5,C,C,0,5,72,0,0.75,5.0,7.5
10,data/rosamunde.musicxml,120,3,4,6,-3,major,0,note,Eb5,Eb,E,-1,5,75,3,0.75,5.0,7.5
11,data/rosamunde.musicxml,120,3,4,7,-3,major,0,note,G4,G,G,0,4,67,7,0.75,6.0,9.0
12,data/rosamunde.musicxml,120,3,4,7,-3,major,0,note,B4,B,B,0,4,71,11,0.75,6.0,9.0
13,data/rosamunde.musicxml,120,3,4,7,-3,major,0,note,D5,D,D,0,5,74,2,0.75,6.0,9.0
14,data/rosamunde.musicxml,120,3,4,8,-3,major,0,note,C4,C,C,0,4,60,0,0.75,7.0,10.5
15,data/rosamunde.musicxml,120,3,4,8,-3,major,0,note,Eb4,Eb,E,-1,4,63,3,0.75,7.0,10.5
16,data/rosamunde.musicxml,120,3,4,8,-3,major,0,note,G4,G,G,0,4,67,7,0.75,7.0,10.5
17,data/rosamunde.musicxml,120,3,4,9,-3,major,0,note,C4,C,C,0,4,60,0,0.75,8.0,12.0
18,data/rosamunde.musicxml,120,3,4,9,-3,major,0,note,Eb4,Eb,E,-1,4,63,3,0.75,8.0,12.0
19,data/rosamunde.musicxml,120,3,4,9,-3,major,0,note,G4,G,G,0,4,67,7,0.75,8.0,12.0
20,data/rosamunde.musicxml,120,3,4,10,-3,major,0,note,G3,G,G,0,3,55,7,0.75,9.0,13.5
21,data/rosamunde.musicxml,120,3,4,10,-3,major,0,note,B3,B,B,0,3,59,11,0.75,9.0,13.5
22,data/rosamunde.musicxml,120,3,4,10,-3,major,0,note,D4,D,D,0,4,62,2,0.75,9.0,13.5
23,data/rosamunde.musicxml,120,3,4,11,-3,major,0,note,G3,G,G,0,3,55,7,0.75,10.0,15.0
24,data/rosamunde.musicxml,120,3,4,11,-3,major,0,note,B3,B,B,0,3,59,11,0.75,10.0,15.0
25,data/rosamunde.musicxml,120,3,4,11,-3,major,0,note,D4,D,D,0,4,62,2,0.75,10.0,15.0
