,filepath,qpm,time_sign_num,time_sign_den,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset,onset_seconds
0,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D5,D,D,0,5,74,2,0.25,0.0,0.0
1,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D6,D,D,0,6,86,2,0.25,0.0,0.0
2,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,rest,,,,,,,,0.125,0.3333333333333333,1.0
3,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D4,D,D,0,4,62,2,0.125,0.5,1.5
4,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D4,D,D,0,4,62,2,0.25,0.6666666666666666,2.0
5,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D3,D,D,0,3,50,2,0.25,0.0,0.0
6,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D4,D,D,0,4,62,2,0.25,0.0,0.0
7,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,rest,,,,,,,,0.125,0.3333333333333333,1.0
8,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D2,D,D,0,2,38,2,0.125,0.5,1.5
9,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D3,D,D,0,3,50,2,0.125,0.5,1.5
10,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D2,D,D,0,2,38,2,0.25,0.6666666666666666,2.0
11,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,1,-1,major,0,note,D3,D,D,0,3,50,2,0.25,0.6666666666666666,2.0
12,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,2,-1,major,0,rest,,,,,,,,0.25,1.0,3.0
13,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,2,-1,major,0,rest,,,,,,,,0.25,1.0,3.0
14,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A4,A,A,0,4,69,9,0.25,2.0,6.0
15,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A5,A,A,0,5,81,9,0.25,2.0,6.0
16,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,rest,,,,,,,,0.125,2.333333333333333,6.999999999999999
17,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A3,A,A,0,3,57,9,0.125,2.4999999999999996,7.499999999999998
18,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A3,A,A,0,3,57,9,0.25,2.666666666666666,7.999999999999998
19,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A2,A,A,0,2,45,9,0.25,2.0000000000000004,6.000000000000002
20,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A3,A,A,0,3,57,9,0.25,2.0000000000000004,6.000000000000002
21,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,rest,,,,,,,,0.125,2.3333333333333335,7.0
22,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A1,A,A,0,1,33,9,0.125,2.5000000000000004,7.500000000000002
23,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A2,A,A,0,2,45,9,0.125,2.5000000000000004,7.500000000000002
24,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A1,A,A,0,1,33,9,0.25,2.666666666666667,8.0
25,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,3,-1,major,0,note,A2,A,A,0,2,45,9,0.25,2.666666666666667,8.0
26,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,4,-1,major,0,rest,,,,,,,,0.25,3.0,9.0
27,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,4,-1,major,0,rest,,,,,,,,0.25,3.0,9.0
28,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,5,-1,major,0,rest,,,,,,,,0.25,4.0,12.0
29,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,5,-1,major,0,note,F2,F,F,0,2,41,5,0.25,4.0,12.0
30,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,5,-1,major,0,rest,,,,,,,,0.125,4.333333333333334,13.000000000000002
31,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,5,-1,major,0,note,F1,F,F,0,1,29,5,0.125,4.5,13.5
32,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,5,-1,major,0,note,F1,F,F,0,1,29,5,0.25,4.666666666666667,14.0
33,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D4,D,D,0,4,62,2,0.25,5.0,15.0
34,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D5,D,D,0,5,74,2,0.25,5.0,15.0
35,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,rest,,,,,,,,0.125,5.333333333333332,15.999999999999996
36,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,rest,,,,,,,,0.125,5.499999999999999,16.499999999999996
37,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,rest,,,,,,,,0.25,5.666666666666665,16.999999999999996
38,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D2,D,D,0,2,38,2,0.25,5.0,15.0
39,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D3,D,D,0,3,50,2,0.25,5.0,15.0
40,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,rest,,,,,,,,0.125,5.333333333333333,16.0
41,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D3,D,D,0,3,50,2,0.125,5.5,16.5
42,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D3,D,D,0,3,50,2,0.25,5.666666666666666,17.0
43,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,rest,,,,,,,,0.375,5.000000000000001,15.000000000000004
44,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D1,D,D,0,1,26,2,0.125,5.500000000000001,16.500000000000004
45,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D2,D,D,0,2,38,2,0.125,5.500000000000001,16.500000000000004
46,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D1,D,D,0,1,26,2,0.25,5.666666666666667,17.0
47,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,6,-1,major,0,note,D2,D,D,0,2,38,2,0.25,5.666666666666667,17.0
48,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,7,-1,major,0,rest,,,,,,,,0.25,6.0,18.0
49,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,7,-1,major,0,rest,,,,,,,,0.25,6.0,18.0
50,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,8,-1,major,0,rest,,,,,,,,0.25,7.0,21.0
51,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,8,-1,major,0,rest,,,,,,,,0.25,7.0,21.0
52,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,9,-1,major,0,note,A5,A,A,0,5,81,9,0.25,8.0,24.0
53,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,9,-1,major,0,rest,,,,,,,,0.125,8.333333333333334,25.0
54,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,9,-1,major,0,note,A4,A,A,0,4,69,9,0.125,8.5,25.5
55,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,9,-1,major,0,note,A4,A,A,0,4,69,9,0.25,8.666666666666668,26.000000000000004
56,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,9,-1,major,0,rest,,,,,,,,0.25,8.0,24.0
57,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,10,-1,major,0,note,D5,D,D,0,5,74,2,0.25,9.0,27.0
58,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,10,-1,major,0,note,E5,E,E,0,5,76,4,0.25,9.333333333333334,28.0
59,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,10,-1,major,0,note,F5,F,F,0,5,77,5,0.25,9.666666666666668,29.000000000000004
60,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,10,-1,major,0,rest,,,,,,,,0.25,9.0,27.0
61,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,11,-1,major,0,note,E5,E,E,0,5,76,4,0.25,10.0,30.0
62,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,11,-1,major,0,note,F5,F,F,0,5,77,5,0.25,10.333333333333334,31.0
63,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,11,-1,major,0,note,G5,G,G,0,5,79,7,0.25,10.666666666666668,32.0
64,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,11,-1,major,0,rest,,,,,,,,0.25,10.0,30.0
65,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,12,-1,major,0,note,F5,F,F,0,5,77,5,0.25,11.0,33.0
66,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,12,-1,major,0,note,E5,E,E,0,5,76,4,0.25,11.333333333333334,34.0
67,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,12,-1,major,0,note,D5,D,D,0,5,74,2,0.25,11.666666666666668,35.0
68,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,12,-1,major,0,rest,,,,,,,,0.25,11.0,33.0
69,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,13,-1,major,0,note,F5,F,F,0,5,77,5,0.25,12.0,36.0
70,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,13,-1,major,0,note,E5,E,E,0,5,76,4,0.25,12.333333333333334,37.0
71,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,13,-1,major,0,note,D5,D,D,0,5,74,2,0.25,12.666666666666668,38.0
72,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,13,-1,major,0,note,D5,D,D,0,5,74,2,0.25,12.0,36.0
73,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,13,-1,major,0,rest,,,,,,,,0.125,12.333333333333334,37.0
74,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,13,-1,major,0,note,D4,D,D,0,4,62,2,0.125,12.5,37.5
75,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,13,-1,major,0,note,D4,D,D,0,4,62,2,0.25,12.666666666666668,38.0
76,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,14,-1,major,0,note,C5,C,C,0,5,72,0,0.25,13.0,39.0
77,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,14,-1,major,0,note,B4,B,B,0,4,71,11,0.25,13.333333333333334,40.0
78,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,14,-1,major,0,note,A4,A,A,0,4,69,9,0.25,13.666666666666668,41.0
79,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,14,-1,major,0,note,A4,A,A,0,4,69,9,0.25,13.0,39.0
80,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,14,-1,major,0,note,B4,B,B,0,4,71,11,0.25,13.333333333333334,40.0
81,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,14,-1,major,0,note,C5,C,C,0,5,72,0,0.25,13.666666666666668,41.0
82,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,15,-1,major,0,note,G#4,G#,G,1,4,68,8,0.25,14.0,42.0
83,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,15,-1,major,0,note,A4,A,A,0,4,69,9,0.25,14.333333333333334,43.0
84,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,15,-1,major,0,note,B4,B,B,0,4,71,11,0.25,14.666666666666668,44.0
85,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,15,-1,major,0,note,B4,B,B,0,4,71,11,0.25,14.0,42.0
86,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,15,-1,major,0,note,C5,C,C,0,5,72,0,0.25,14.333333333333334,43.0
87,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,15,-1,major,0,note,D5,D,D,0,5,74,2,0.25,14.666666666666668,44.0
88,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,16,-1,major,0,note,A4,A,A,0,4,69,9,0.25,15.000000000000002,45.00000000000001
89,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,16,-1,major,0,note,G#4,G#,G,1,4,68,8,0.25,15.333333333333336,46.00000000000001
90,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,16,-1,major,0,note,A4,A,A,0,4,69,9,0.25,15.666666666666668,47.0
91,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,16,-1,major,0,note,C5,C,C,0,5,72,0,0.25,15.0,45.0
92,data/Symphony_No._9_2nd_Movement.mxl,60.0,3,4,16,-1,major,0,note,B4,B,B,0,4,71,11,0.25,15.333333333333334,46.0
