composer	filename	Fbb	Cbb	Gbb	Dbb	Abb	Ebb	Bbb	Fb	Cb	Gb	Db	Ab	Eb	Bb	F	C	G	D	A	E	B	F#	C#	G#	D#	A#	E#	B#	F##	C##	G##	D##	A##	E##	B##
Bach	1032401-Prelude_No._4_BWV_873_in_C_Minor.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	128	217	157	292	222	263	201	60	64	60	27	13	0	0	0	0	0
Bach	1040681-Fugue_No._4_BWV_873_in_C_Minor.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	18	106	183	151	201	217	220	184	71	38	56	18	0	0	0	0	0	0
Bach	1066276-Prelude_No._5_BWV_874_in_D_Major.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	23	151	231	265	243	206	215	170	58	15	22	4	0	0	0	0	0	0	0	0
Bach	1073231-Fugue_No._5_BWV_874_in_D_Major.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	95	153	146	142	141	124	90	31	4	8	6	0	0	0	0	0	0	0	0
Bach	1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl.csv	0	0	0	0	0	0	0	0	0	0	3	0	14	91	115	79	153	195	185	118	49	24	52	13	0	0	0	0	0	0	0	0	0	0	0
Bach	1107771-Fugue_No._6_BWV_875_in_D_Minor.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	11	69	104	59	118	133	131	109	31	15	42	9	0	0	0	0	0	0	0	0	0	0	0
Bach	1133561-Prelude_No._7_BWV_876_in_E_Major.mxl.csv	0	0	0	0	0	0	0	1	1	4	21	95	146	161	108	105	129	111	36	5	10	9	3	0	0	0	0	0	0	0	0	0	0	0	0
Bach	1141201-Fugue_No._7_BWV_876_in_E_Major.mxl.csv	0	0	0	0	0	0	0	0	0	1	12	81	111	127	104	85	115	83	21	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bach	1169116-Prelude_No._8_BWV_877_in_D_Minor.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	78	120	96	122	132	156	119	47	24	40	26	2	0	0	0
Bach	1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	29	82	113	106	164	183	169	127	37	37	43	14	1	0	0	0
Bach	1207206-Prelude_No._9_BWV_878_in_E_Major.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	12	100	178	141	140	125	133	114	31	7	25	3	0	0	0	0	0	0
Bach	1215101-Fugue_No._9_BWV_878_in_E_Major.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	78	113	124	118	106	118	89	21	14	9	5	1	0	0	0	0	0
Bach	1251606-Prelude_No._10_BWV_879_in_E_Minor.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	76	142	99	128	190	216	191	121	35	49	28	3	0	0	0	0	0	0	0	0
Bach	1260556-Fugue_No._10_BWV_879_in_E_Minor.mxl.csv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	111	201	139	193	241	221	208	89	32	85	39	1	0	0	0	0	0	0	0	0
Bach	1293351-Prelude_No._11_BWV_880_in_F_Major.mxl.csv	0	0	0	0	0	0	0	0	0	0	1	10	24	115	219	186	191	209	207	174	72	17	33	17	1	0	0	0	0	0	0	0	0	0	0
Bach	1303106-Fugue_No._11_BWV_880_in_F_Major.mxl.csv	0	0	0	0	0	0	0	0	0	0	8	25	35	125	165	166	157	135	128	109	32	9	9	1	0	0	0	0	0	0	0	0	0	0	0
Bach	1340331-Prelude_No._12_BWV_881_in_F_Minor.mxl.csv	0	0	0	0	0	0	0	2	2	26	72	111	72	98	117	110	70	15	22	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
